,4_ExactMolWt,5_Chi0n,6_Chi0n,5_Chi0v,4_FractionCSP3,5_FractionCSP3,6_FractionCSP3,5_HeavyAtomCount,4_HeavyAtomMolWt,5_HeavyAtomMolWt,6_HeavyAtomMolWt,5_LabuteASA,2_MolLogP,4_MolLogP,5_NumHAcceptors,6_NumHDonors,5_NumRotatableBonds,4_TPSA,5_TPSA,6_TPSA,OUTPUT
116,510.2298727,21.63571365,7.058709813,22.39164259,0.2,0.2,0,37,479.825,479.825,184.106,223.8673792,-0.2956,3.9963,5,1,7,47.97,47.97,67.51,
117,510.2298727,21.63571365,34.11465457,22.39164259,0.2,0.2,0.058823529,37,479.825,479.825,968.628,223.8673792,-0.2956,3.9963,5,4,7,47.97,47.97,389.2,
118,510.2298727,21.63571365,35.78682347,22.39164259,0.2,0.2,0,37,479.825,479.825,1006.704,223.8673792,-0.2956,3.9963,5,2,7,47.97,47.97,349.21,
119,510.2298727,21.63571365,16.63970734,22.39164259,0.2,0.2,0.142857143,37,479.825,479.825,364.287,223.8673792,-0.2956,3.9963,5,4,7,47.97,47.97,153.52,
120,510.2298727,16.76984402,14.80092304,16.76984402,0.2,0.208333333,0.142857143,27,479.825,330.285,364.293,162.2081523,-0.2956,3.9963,3,2,4,47.97,18.84,83.83,
121,510.2298727,16.76984402,21.63571365,16.76984402,0.2,0.208333333,0.2,27,479.825,330.285,479.825,162.2081523,-0.2956,3.9963,3,0,4,47.97,18.84,47.97,
122,510.2298727,16.76984402,16.76984402,16.76984402,0.2,0.208333333,0.208333333,27,479.825,330.285,330.285,162.2081523,-0.2956,3.9963,3,0,4,47.97,18.84,18.84,
123,510.2298727,16.76984402,12.73011839,16.76984402,0.2,0.208333333,0.235294118,27,479.825,330.285,278.206,162.2081523,-0.2956,3.9963,3,1,4,47.97,18.84,65.26,
124,510.2298727,16.76984402,6.724990191,16.76984402,0.2,0.208333333,0.333333333,27,479.825,330.285,173.558,162.2081523,-0.2956,3.9963,3,0,4,47.97,18.84,29.96,
125,510.2298727,16.76984402,19.76006718,16.76984402,0.2,0.208333333,0.285714286,27,479.825,330.285,412.319,162.2081523,-0.2956,3.9963,3,1,4,47.97,18.84,56.69,
126,510.2298727,16.76984402,7.058709813,16.76984402,0.2,0.208333333,0,27,479.825,330.285,184.106,162.2081523,-0.2956,3.9963,3,1,4,47.97,18.84,67.51,
127,510.2298727,16.76984402,34.11465457,16.76984402,0.2,0.208333333,0.058823529,27,479.825,330.285,968.628,162.2081523,-0.2956,3.9963,3,4,4,47.97,18.84,389.2,
128,510.2298727,16.76984402,35.78682347,16.76984402,0.2,0.208333333,0,27,479.825,330.285,1006.704,162.2081523,-0.2956,3.9963,3,2,4,47.97,18.84,349.21,
129,510.2298727,16.76984402,16.63970734,16.76984402,0.2,0.208333333,0.142857143,27,479.825,330.285,364.287,162.2081523,-0.2956,3.9963,3,4,4,47.97,18.84,153.52,
130,510.2298727,12.73011839,14.80092304,12.73011839,0.2,0.235294118,0.142857143,22,479.825,278.206,364.293,129.4755753,-0.2956,3.9963,4,2,6,47.97,65.26,83.83,
131,510.2298727,12.73011839,21.63571365,12.73011839,0.2,0.235294118,0.2,22,479.825,278.206,479.825,129.4755753,-0.2956,3.9963,4,0,6,47.97,65.26,47.97,
132,510.2298727,12.73011839,16.76984402,12.73011839,0.2,0.235294118,0.208333333,22,479.825,278.206,330.285,129.4755753,-0.2956,3.9963,4,0,6,47.97,65.26,18.84,
133,510.2298727,12.73011839,12.73011839,12.73011839,0.2,0.235294118,0.235294118,22,479.825,278.206,278.206,129.4755753,-0.2956,3.9963,4,1,6,47.97,65.26,65.26,
134,510.2298727,12.73011839,6.724990191,12.73011839,0.2,0.235294118,0.333333333,22,479.825,278.206,173.558,129.4755753,-0.2956,3.9963,4,0,6,47.97,65.26,29.96,
135,510.2298727,12.73011839,19.76006718,12.73011839,0.2,0.235294118,0.285714286,22,479.825,278.206,412.319,129.4755753,-0.2956,3.9963,4,1,6,47.97,65.26,56.69,
136,510.2298727,12.73011839,7.058709813,12.73011839,0.2,0.235294118,0,22,479.825,278.206,184.106,129.4755753,-0.2956,3.9963,4,1,6,47.97,65.26,67.51,
137,510.2298727,12.73011839,34.11465457,12.73011839,0.2,0.235294118,0.058823529,22,479.825,278.206,968.628,129.4755753,-0.2956,3.9963,4,4,6,47.97,65.26,389.2,
138,510.2298727,12.73011839,35.78682347,12.73011839,0.2,0.235294118,0,22,479.825,278.206,1006.704,129.4755753,-0.2956,3.9963,4,2,6,47.97,65.26,349.21,
139,510.2298727,12.73011839,16.63970734,12.73011839,0.2,0.235294118,0.142857143,22,479.825,278.206,364.287,129.4755753,-0.2956,3.9963,4,4,6,47.97,65.26,153.52,
140,510.2298727,6.724990191,14.80092304,7.480919137,0.2,0.333333333,0.142857143,12,479.825,173.558,364.293,75.56977673,-0.2956,3.9963,2,2,0,47.97,29.96,83.83,
